Campus,Program,Location,Equipment Name,Description /Function,Equipment Model,HCT Barcode,Working? Y/N
AAMC,HS-EMS,GC-1,NASCO / USA MEDIUM FIDELITY MANIKIN 10131704,Medium Fidelity Adult Manikin,MEDIUM FIDELITY MANIKIN 10131704,369824,Yes
AAMC,HS-EMS,GC-1,iPad operate Q-CPR with manikins S315.600.250.PK-CPR+D skils Trainer Torso with Omini 2 SR CPR 51706358,Q-CPR Manikins Trainer Torso,iPad operate Q-CPR with manikins S315.600.250.PK-CPR+D skils Trainer Torso with Omini 2,371133,Yes
AAMC,HS-EMS,B102,iPad operate Q-CPR with manikins S315.600.250.PK-CPR+D skils Trainer Torso with Omini 2 SR CPR51706357,Q-CPR Manikins Trainer Torso,iPad operate Q-CPR with manikins S315.600.250.PK-CPR+D skils Trainer Torso with Omini 2,371132,Yes
AAMC,HS-EMS,B102,Aduit low Medium Fidelity half ttorso manikin.S315.600.250.PK-CPR+D skills trainer CPR51706359 SR CPR51706359,Adult Low-Medium half Torso Manikin - QCPR Skills Trainer,Aduit low Medium Fidelity half ttorso manikin.S315.600.250.PK-CPR+D skills trainer CPR51706359,371131,Yes
AAMC,HS-EMS,GC-1,Birth Training Simulator medium fidelity NOELLE S550.250.PK- Chilidbirth and Neonatal care Patient SR 15608307,Medium Fidelity Adult Birthing Manikin,Birth Training Simulator medium fidelity NOELLE S550.250.PK- Chilidbirth and Neonatal care Patient,371134,Yes
AAMC,HS-EMS,GC-1,Medium Fidelity Infant Manikin S300.110.250.PK. Code Blue III Infant with Omini 2 Advanced L S T SR F2012409W,Medium Fidelity Infant Manikin,Medium Fidelity Infant Manikin S300.110.250.PK. Code Blue III Infant with Omini 2 Advanced L S T,371138,Yes
AAMC,HS-EMS,B103,"Megacode Kelly, Link box, Simpad, Face, Chest, IV arm. Code Blue III Adult with Omini 2.S300.100.250 SR C2101645",Megacode Kelly Adult Medium Manikin,"Megacode Kelly, Link box, Simpad, Face, Chest, IV arm. Code Blue III Adult with Omini 2.S300.100.250",371127,Yes
AAMC,HS-EMS,B103,"Medium Fidelity adult Manikin, S300.100.250.PK. Code Blue III Adult with Omini2 Advanced L S T SR C2101647",Medium Fidelity Adult Manikin,"Medium Fidelity adult Manikin, S300.100.250.PK. Code Blue III Adult with Omini2 Advanced L S T",371140,Yes
AAMC,HS-EMS,B102,"Medium Fidelity adult Manikin, S300.100.250.PK. Code Blue III Adult with Omini2 Advanced L S T SR C2101646",Medium Fidelity Adult Manikin,"Medium Fidelity adult Manikin, S300.100.250.PK. Code Blue III Adult with Omini2 Advanced L S T",371139,Yes
AAMC,HS-EMS,B103,Half-Torso Maternity Manikin,Half-Torso Maternity Manikin,Half-Torso Maternity Manikin (On Loan from ADM),265101,Yes
AAMC,HS-EMS,B103,Chair Stretcher,Chair Stretcher,Chair Stretcher (On Loan from SJM),HCT 90759,Yes
AAMC,HS-EMS,B102,EZ-IO G3 Educators Kit  ,EZ-IO G3 Educators Kit  ,Chair Stretcher (On Loan from SJM),371293,Yes
AAMC,HS-EMS,B102,EZ-IO G3 Educators Kit  ,EZ-IO G3 Educators Kit  ,ArrowEZ 10Power driver,371290,Yes
AAMC,HS-EMS,B102,EZ-IO G3 Educators Kit  ,EZ-IO G3 Educators Kit  ,ArrowEZ 10Power driver,371291,Yes
AAMC,HS-EMS,B102,EZ-IO G3 Educators Kit  ,EZ-IO G3 Educators Kit  ,ArrowEZ 10Power driver,371292,Yes
AAMC,HS-EMS,B102 & GC-1,Head Blocks Kits,Immobilization Equipment,Head Blocks Kits (On Loan from SJM),N/A,Yes
AAMC,HS-EMS,B102,Head Immobilize Kit - Speedblocks,Immobilization Equipment,Head Immobilize Kit - Speedblocks (On Loan from SJM),N/A,Yes
AAMC,HS-EMS,B102 / B103 / GC-1,Portable Oxygen Cylinders,Portable Oxygen Cylinders - Provision of Oxygen during Simulation Training.,Portable Oxygen Cylinders (On Loan from SJM),N/A,Yes
AAMC,HS-EMS,B102 / B103 / GC-1,IV Drip Stand,Utilized for Intravenous Access & Simulation Training.,"IV Drip Stand, 4 Hook",N/A,Yes
AAMC,HS-EMS,GC-1,Spine/Trauma Board,Immobilization Equipment,Spine/Trauma Board - Laerdal (On Loan from SJM),N/A,Yes
AAMC,HS-EMS,B103,Spine/Trauma Board,Immobilization Equipment,Spine/Trauma Board,,Yes
AAMC,HS-EMS,GC-1,SAMGE Suction Unit,Suction Unit,SAMGE Suction Unit (On Loan from SJM),7/7/2893,Yes
AAMC,HS-EMS,GC-1,Vacumn Mattress Pump (On Loan from SJM),Part of Immobilization Equipment,Vacumn Mattress Pump (On Loan from SJM),N/A,Yes
AAMC,HS-EMS,GC-1,Vacumn Mattress with straps & handles (On Loan from SJM),Immobilization Equipment,Vacumn Mattress with straps & handles (On Loan from SJM),9/11/2891,Yes
AAMC,HS-EMS,B103,Vacumn Mattress Set & Pump,Immobilization Equipment,Vacumn Mattress Set & Pump,,Yes
